,interest rate,inflation rate,jeonsegayeul,sale jeonse rate,credit interest rate,secured loan rate,fixed interest spread,type1,type2,type3,price per pyung 1,price per pyung 2,price per pyung 3,movign rate to capital area,moving rate to noncapital area,LTV,DTI
15-Jan,0.0213,-0.000601383,0.6353,0.077,0.049,0.0335,0.0026,0.245870197,0.606694302,0.147435501,173.9,336.4,248.2,0.001685602,0.001712765,0.7,0.6
15-Feb,0.0212,0.000100291,0.6381,0.077,0.0496,0.0334,0.0026,0.245870197,0.606694302,0.147435501,174.3,337.8,248.7,0.001885796,0.001861411,0.7,0.6
15-Mar,0.0195,0.000300842,0.6411,0.077,0.049,0.0325,0.0027,0.245870197,0.606694302,0.147435501,174.9,340,249.5,0.00198471,0.001943566,0.7,0.6
15-Apr,0.0181,0.002807018,0.6437,0.076,0.0483,0.0317,0.0029,0.245870197,0.606694302,0.147435501,175.7,342.5,250.6,0.00154574,0.001377538,0.7,0.6
15-May,0.018,0.00019994,0.6451,0.075,0.0467,0.0307,0.0029,0.245870197,0.606694302,0.147435501,176.2,344.7,251.6,0.001365571,0.001196175,0.7,0.6
15-Jun,0.017,0.0017991,0.6478,0.075,0.0467,0.0313,0.0031,0.245870197,0.606694302,0.147435501,176.9,347.3,252.5,0.001526951,0.001253446,0.7,0.6
15-Jul,0.0165,0.001396787,0.6502,0.074,0.0459,0.0305,0.0034,0.245870197,0.606694302,0.147435501,177.6,349.7,253.6,0.001518167,0.001350458,0.7,0.6
15-Aug,0.0164,-0.002590415,0.6521,0.073,0.0446,0.0299,0.0036,0.245870197,0.606694302,0.147435501,178.3,352,254.3,0.00152389,0.001412396,0.7,0.6
15-Sep,0.016,0,0.6558,0.072,0.0442,0.0298,0.0037,0.245870197,0.606694302,0.147435501,179,354.9,254.9,0.001284756,0.001145621,0.7,0.6
15-Oct,0.0158,-0.001897912,0.6583,0.071,0.0454,0.0295,0.0037,0.245870197,0.606694302,0.147435501,179.7,356.9,255.8,0.001492549,0.001273719,0.7,0.6
15-Nov,0.0159,0.003002402,0.6616,0.07,0.0448,0.0295,0.0037,0.245870197,0.606694302,0.147435501,180.5,359.4,256.4,0.001452584,0.001250037,0.7,0.6
15-Dec,0.0167,0.001696268,0.6637,0.069,0.0451,0.0305,0.0039,0.245870197,0.606694302,0.147435501,181.1,360.5,257,0.001730309,0.001528854,0.7,0.6
16-Jan,0.0167,0.004283295,0.6689,0.069,0.0455,0.0318,0.0038,0.240570042,0.608247423,0.151182535,181,358.8,258.1,0.001540447,0.001616923,0.7,0.6
16-Feb,0.0164,-0.002578853,0.6715,0.069,0.046,0.032,0.0037,0.240570042,0.608247423,0.151182535,181.4,359.3,258.4,0.002007315,0.002040163,0.7,0.6
16-Mar,0.0163,0.001889419,0.6741,0.069,0.0452,0.0312,0.0038,0.240570042,0.608247423,0.151182535,181.9,359.8,258.6,0.001824915,0.001811064,0.7,0.6
16-Apr,0.0161,0.000595533,0.6758,0.068,0.0461,0.031,0.0038,0.240570042,0.608247423,0.151182535,182.4,360.5,259.3,0.001399835,0.001301886,0.7,0.6
16-May,0.0158,-0.000198393,0.6781,0.068,0.0453,0.0302,0.0037,0.240570042,0.608247423,0.151182535,182.9,361.6,260,0.001343607,0.001279495,0.7,0.6
16-Jun,0.0143,-0.001885108,0.6794,0.068,0.045,0.0298,0.0036,0.240570042,0.608247423,0.151182535,183.7,362.9,260.9,0.001337916,0.001252408,0.7,0.6
16-Jul,0.0136,0.002584493,0.6801,0.068,0.0437,0.0291,0.0034,0.240570042,0.608247423,0.151182535,184.7,364.6,262.2,0.001222629,0.001242026,0.7,0.6
16-Aug,0.0135,0.00594884,0.6805,0.067,0.0433,0.0287,0.0034,0.240570042,0.608247423,0.151182535,185.5,366.7,263.4,0.001479661,0.001492278,0.7,0.6
16-Sep,0.0134,0.001379854,0.6805,0.066,0.0446,0.0283,0.0034,0.240570042,0.608247423,0.151182535,186.8,368.7,264.5,0.001188103,0.001193259,0.7,0.6
16-Oct,0.0135,-0.001476378,0.6803,0.066,0.045,0.0291,0.0033,0.240570042,0.608247423,0.151182535,188.4,372.2,265.9,0.001284034,0.001257322,0.7,0.6
16-Nov,0.0142,0.001084278,0.6801,0.065,0.0449,0.0301,0.0031,0.240570042,0.608247423,0.151182535,189.4,375.2,267.1,0.001356257,0.001225394,0.7,0.6
16-Dec,0.0154,0.008566365,0.6804,0.064,0.0446,0.0321,0.0032,0.240570042,0.608247423,0.151182535,190,376.3,267.7,0.001594188,0.001467799,0.7,0.6
17-Jan,0.015,0.00331934,0.6814,0.064,0.0455,0.0336,0.0031,0.235476006,0.609740144,0.15478385,190.6,376.9,268.5,0.001437404,0.001633027,0.7,0.6
17-Feb,0.0149,0.000194609,0.6821,0.064,0.0465,0.034,0.003,0.235476006,0.609740144,0.15478385,191.2,377.4,268.7,0.001977207,0.002209365,0.7,0.6
17-Mar,0.0148,-0.001264714,0.6825,0.064,0.0455,0.0344,0.0029,0.235476006,0.609740144,0.15478385,192,378.1,269.5,0.001698264,0.001864247,0.7,0.6
17-Apr,0.0142,0.001363725,0.682,0.064,0.04861,0.0338,0.0027,0.235476006,0.609740144,0.15478385,192.8,378.9,270.3,0.001286789,0.001263314,0.7,0.6
17-May,0.0139,-0.001264591,0.682,0.064,0.04856,0.0337,0.0027,0.235476006,0.609740144,0.15478385,193.5,380.3,271.1,0.001328993,0.001331858,0.7,0.6
17-Jun,0.0139,0.001850589,0.681,0.065,0.04816,0.0338,0.0027,0.235476006,0.609740144,0.15478385,194.6,383.2,272.2,0.001256656,0.001242948,0.7,0.6
17-Jul,0.0139,0.00602761,0.679,0.064,0.0473,0.0334,0.0027,0.235476006,0.609740144,0.15478385,195.5,385.6,273.4,0.001248607,0.001223386,0.7,0.6
17-Aug,0.0139,0.001063007,0.678,0.064,0.04711,0.0336,0.0025,0.235476006,0.609740144,0.15478385,195.8,388.9,274.1,0.001449254,0.001473305,0.7,0.6
17-Sep,0.0138,-0.001834154,0.677,0.064,0.04783,0.0336,0.0025,0.235476006,0.609740144,0.15478385,196.3,390.1,274.5,0.001249066,0.001198263,0.7,0.6
17-Oct,0.0138,-0.006576402,0.677,0.063,0.0483,0.0336,0.0023,0.235476006,0.609740144,0.15478385,196.6,391.6,275.1,0.001088375,0.001065262,0.7,0.6
17-Nov,0.0146,0.003115265,0.687,0.063,0.04638,0.0341,0.0024,0.235476006,0.609740144,0.15478385,197,393.5,275.8,0.001289269,0.001219822,0.7,0.6
17-Dec,0.0166,0.004076087,0.675,0.063,0.04853,0.0348,0.0022,0.235476006,0.609740144,0.15478385,197.6,395.8,276.3,0.00148852,0.00139781,0.7,0.6
