HouseHoldNumber,Year,Age,Education,Marriage,Work Type,Number of People in a Household,House Type,House Size,Living Type,Savings,Deposit,Living House Price,Nonliving House Price,Housing Credit Loan,Living House Credit Loan,Credit Loan,Income,Income 2,Transfer Income,Region,Income Level,Weight
10200111,2015,48,4,2,5,4,3,83,2,12340,18000,0,8000,12000,0,0,3500,5000,0,A0401,A1905,3036.481718
10200121,2015,44,6,1,2,4,1,149,1,2726,0,100000,0,0,0,0,3980,0,216,A0401,A1903,3583.620562
10300111,2015,38,5,2,8,3,2,83,1,2366,0,30000,0,15000,15000,0,7700,0,0,A0401,A1905,2805.691261
10300341,2015,40,6,2,3,4,2,101,1,13130,0,41000,20000,20000,20000,0,11600,0,0,A0401,A1905,1572.210891
10300351,2015,35,6,2,2,2,2,79,2,2074,10000,0,0,0,0,0,3800,0,0,A0401,A1903,3138.004687
10400131,2015,33,7,2,2,3,2,83,2,3300,25000,0,0,0,0,0,5500,0,0,A0401,A1904,2314.135805
10400151,2015,36,6,2,2,2,2,167,2,1517,28000,0,0,0,0,0,4500,0,0,A0401,A1903,1990.156198
10400171,2015,31,4,2,7,3,3,59,2,5434,15000,0,0,0,0,0,4920,0,0,A0401,A1904,2567.65677
10400311,2015,32,6,2,3,2,2,115,1,3800,0,32000,20000,0,0,0,9000,0,0,A0401,A1905,723.5503615
10400331,2015,31,6,2,2,2,2,59,2,5878,13000,0,0,0,0,0,6040,0,0,A0401,A1904,2340.462782
10500151,2015,60,3,3,2,2,3,76,1,2260,0,23000,20000,0,0,0,720,0,216,A0401,A1901,2588.227486
10500161,2015,80,6,2,,2,1,58,1,845,0,18000,0,0,0,0,0,0,490,A0401,A1901,2588.227486
10500311,2015,41,4,2,,4,1,52,4,20,0,0,0,0,0,0,600,0,500,A0401,A1901,4116.444738
10501101,2015,21,6,1,2,1,1,33,3,200,2000,0,0,0,0,0,2280,0,0,A0401,A1902,1402.4034
10501121,2015,28,6,2,2,2,3,43,3,365,3000,0,0,0,0,1750,600,2040,0,A0401,A1902,2097.028498
10501131,2015,31,7,2,2,3,3,79,2,1468,20000,0,0,0,0,0,4600,0,0,A0401,A1903,2618.19056
