가구번호,조사년도,가구주 만나이,가구주 교육정도_학교,가구주 혼인상태,가구주 직업,가구원수,현재 살고 있는 주택의 종류,전용면적,현재 살고 있는 주택의 입주형태,     저축액,    현거주지 전월세보증금,      거주주택,      거주주택이외 부동산,      부동산 담보대출,         거주주택 담보대출,    신용대출,  근로소득,  사업소득,  이전소득,수도권여부,소득5분위,가중치
10500131,2015,26,4,2,2,2,1,46,5,320,0,0,0,0,0,0,3360,0,0,A0401,A1903,2588.227486
11202131,2015,71,1,3,9,1,1,33,5,21,0,0,0,0,0,0,48,0,282,A0401,A1901,3587.01445
14201171,2015,44,4,2,9,4,3,56,5,2116,0,0,0,0,0,0,5200,0,0,A0401,A1904,3062.643443
14203391,2015,55,7,2,2,4,1,42,5,48989,0,0,13500,0,0,0,9000,0,0,A0401,A1905,6202.582375
18203321,2015,71,4,2,,2,2,106,5,11,0,0,0,0,0,0,0,0,1216,A0401,A1901,3103.176456
32200261,2015,70,4,3,4,1,2,67,5,90,0,0,0,0,0,0,90,0,600,A0401,A1901,1750.973368
32200281,2015,49,4,2,8,5,3,42,5,1732,0,0,0,0,0,1000,4080,0,0,A0401,A1903,2113.043541
39200281,2015,46,4,2,8,4,2,55,5,60,0,0,0,0,0,0,2100,0,5,A0401,A1902,2523.740415
39501251,2015,76,2,3,,1,2,59,5,485,0,0,0,0,0,0,0,0,679,A0401,A1901,1450.816531
39501281,2015,30,4,2,4,4,3,46,5,2478,0,0,0,0,0,0,4600,0,0,A0401,A1903,1712.404916
110200191,2015,38,4,2,5,2,1,82,5,4560,0,0,0,0,0,500,4000,3000,0,A0401,A1904,1441.885098
110200361,2015,84,2,3,,1,2,79,5,60,0,0,0,0,0,0,0,0,179,A0401,A1901,2320.819493
111200121,2015,45,4,4,,2,1,82,5,131,0,0,14500,0,0,0,0,0,1800,A0401,A1902,2768.246507
112200371,2015,71,3,2,4,2,3,44,5,570,0,0,0,0,0,0,480,0,286,A0401,A1901,2741.999123
112200391,2015,59,3,3,,1,2,89,5,6700,0,0,0,0,0,0,0,0,240,A0401,A1901,3727.495949
113503311,2015,50,7,2,2,7,2,76,5,523,0,0,0,0,0,0,1260,0,729,A0401,A1902,4188.419941
114200131,2015,43,4,1,7,1,3,60,5,1500,0,0,23000,5000,0,0,5000,0,0,A0401,A1904,937.7765915
115201151,2015,67,7,2,2,2,2,59,5,140,0,0,13000,2249,0,0,1800,0,492,A0401,A1902,2163.111467
